Numero;Pergunta;Alternativa_A;Alternativa_B;Alternativa_C;Alternativa_D;Alternativa_E;Gabarito
972;666/1993. ”B“ otirabaG IV. Os documentos necessários à habilitação poderão ser apresentados pelos licitantes por qualquer processo (FGV – 2010) Com relação ao tema Licitação Pública, analise de cópia autenticada por cartório competente ou por as afirmativas a seguir: servidor da Administração, ou publicação em órgão I. O leilão pode ser feito por leiloeiro oficial ou servidor da imprensa oficial. designado pela Administração, devendo ser conside- Assinale: rada vencedora a proposta de arrematação de valor,;se somente a afirmativa I estiver correta. necessariamente, superior ao de avaliação.;;empreitada por preço global, empreitada por preço Considerando a situação hipotética apresentada e tendo unitário e empreitada integral. por base a lei que regula licitações e contratos, assinale;dispensável, inexigÃvel e dispensada.;melhor qualificação técnica, melhor qualificação;A
973;ria a publicação de aviso acerca do processo licitatório confundido com os tipos de licitação. também em São Paulo, local em que o serviço a ser ”B“ otirabaG (FGV – 2010) Após a devida publicação do aviso contendo A lei admite a publicação de aviso contendo o resumo do edital, mas o resumo do edital de uma licitação na modalidade determina, para o caso, que tal aviso seja publicado no Diário Oficial concorrência, do tipo técnica e preço, o administrador da União (que circula também em São Paulo), e não apenas em jornal público estadual poderá realizar o certame, de acordo de grande circulação do DF (666/1993), valendo com a Lei Federal 8.666/1993, no prazo de: salientar a edição de Medida Provisória 896/19 retirando o dever de;"8 (oito) dias úteis. publicação desse aviso ou resumo do edital em jornais de grande circulação, devendo-se proceder a publicidade com publicações no (B) 10 (dez) dias. imprensa oficial e no sÃtio eletrônico (site) oficial do respectivo ente (C) 15 (quinze) dias. público; recomendamos que o leitor acompanhe o andamento dessa (D) 30 (trinta) dias. medida provisória, para verificar se será convertida ou não em lei.";seria vedado realizar a referida licitação na modali- (A) A declaração de inidoneidade não pode ser aplicada dade tomada de preços, independentemente do valor em caso de inexecução parcial do contrato. estimado da contratação. (B) A aplicação da declaração de inidoneidade exclui a;seria lÃcito realizar licitação do tipo “melhor técnica”. aplicação de multa e vice-versa.;A declaração de inidoneidade pode ser aplicada às (;60 (sessenta) dias.;A
974;(C) mero juÃzo de conveniência e oportunidade da Admi- pas previstas na Lei n. 8.666/93, sagrou-se vencedora nistração, podendo ocorrer até antes da assinatura do a Companhia X. No entanto, antes de se outorgar o contrato para a Companhia X, a Administração Pública (D) prévia, integral e justa indenização, podendo, por resolveu revogar a licitação. Acerca do tema, assinale a isso, se dar por qualquer motivo e a qualquer tempo.;A Administração Pública pode revogar a licitação, A e;"A revogação depende da constatação de ilegalidade (ex.: por cumprimento dos seus efeitos), não há mais que se falar em no curso do procedimento e, nesse caso, não pode retirada do ato do mundo jurÃdico; ser decretada em prejuÃzo da Companhia X, que já se sagrou vencedora. os requisitos previstos no art. 49 da Lei 8.666/1993, não tem o dever";A revogação, fundada na conveniência e na oportu- de providenciar prévia, integral e justa indenização.;Quando a Administração lança um edital e a ele se um prédio público capaz de instalar, com conforto, o vincula, somente será possÃvel a anulação do certame em caso de ilegalidade, sendo-lhe vedado, pois, revogar a licitação. (FGV – 2013) Acerca da invalidação e revogação de licitação,;;A
975;Secretarias de Estado. No curso do procedimento vaga (D) Quando a Administração lança um edital e a ele se um prédio público capaz de instalar, com conforto, o vincula, somente será possÃvel a anulação do certame em caso de ilegalidade, sendo-lhe vedado, pois, (FGV – 2013) Acerca da invalidação e revogação de licitação, A e;"A licitação deve ser anulada pela Administração veniente ou inoportuna a contratação que derivará da licitação; a Pública porque ela dispõe de elementos que a fazem ilegalidade de um certame dá ensejo à anulação e não à revogação; C: concluir que não mais precisa do objeto licitado.";;A licitação só pode ser revogada por motivo de con- (E) a intimação dos interessados quanto ao ato de jul- veniência e oportunidade, devidamente constatados, gamento das propostas deve ser, em qualquer hipó- desde que autorizados em lei. tese, cumprida mediante publicação na imprensa;A licitação só pode ser revogada pelos motivos prévia oficial, a fim de que não se restrinja o direito de e devidamente descritos no Edital do certame, não recurso. havendo, neste caso, discricionariedade da Adminis-;"A licitação pode ser revogada, sempre que for cons- a e b, da Lei 8.666/1993);";A
976;renciado de Contratação. Após a abertura das propostas, constatou-se que houve empate entre as sociedades (FGV – 2010) Nos casos de anulação de uma licitação na Ômega S/A e Gama S/A, duas grandes empresas que modalidade Convite e de inabilitação do licitante em atuam no setor de referência, sendo, a primeira, empresa uma Concorrência Pública, cabem recursos, no prazo de: brasileira e, a segunda, sociedade estrangeira com sede;5 (cinco) dias em ambos. no Brasil. Considerando a ordem de critérios de desem-;A preferência por serviços realizados por empresa;5 (cinco) dias úteis e 5 (cinco) dias, respectivamente. afirmativa correta.;2 (dois) dias úteis e 5 (cinco) dias úteis, respectiva- (A) O Estado X deverá, de plano, proceder a sorteio para promover o desempate.;3 (três) dias úteis e 5 (cinco) dias úteis, respectiva-;A
977;8.666/1993). Porém, no convite, o prazo para o recurso é de 2 dias (C) As sociedades deverão ser consideradas vencedoras úteis (666/1993). e ratear, igualmente, o objeto do contrato, mediante a constituição de consórcio. 10.1.8. Recursos administrativos na licitação (D) Os licitantes empatados poderão apresentar nova proposta fechada, em ato contÃnuo à classificação. (FGV – 2010) No que tange aos Recursos Administrativos cabÃveis dos atos decorrentes da licitação, é correto Diferenciado de Contratação (Lei 12.462/11), que só pode ser apli- afirmar que: cado nos casos especificamente elencados na lei (vide art. 1º da Lei;"os recursos contra a habilitação ou inabilitação de 12.462/11), as regras previstas na Lei 8.666/93 só serão aplicadas no que não contrariarem a Lei 12.462/11; dessa forma, aplica-se a regra licitantes poderão ter efeito suspensivo em razão da sobre empate prevista expressamente na Lei 12.462/11, que impõe a faculdade discricionária da Administração. tentativa de aplicação de três medidas antes de usar o sorteio como";"o prazo para interposição de recurso no caso de revo- critério de desempate (art. 25); gação da licitação efetuada na modalidade convite de desempate previsto na Lei 12.462/11 (art. 25, III) é o previsto na será de 2 (dois) dias úteis. Lei 8.666/93, que confere preferência à empresa brasileira (art. 3o,";"os licitantes habilitados somente poderão exercitar a § 2º, II, da Lei 8.666/93); faculdade recursal se forem desclassificados nas fases (Regime Diferenciado de Contratações) nem na Lei 8.666/93 (Lei Geral de julgamento das propostas técnicas e das propostas de Licitações) há regra nesse sentido para se determinar com quem a de preço, nas licitações do tipo “melhor técnica” e Administração deve contratar em caso de empate entre licitantes; D:";o prazo para interposição de recurso terá inÃcio a partir 12.462/11 (art. 25, I), que se aplica no caso com primazia em relação da intimação do ato ou lavratura da ata, ainda que os à Lei 8.666/93, em função de ter-se adotado o Regime Diferenciado autos do processo não estejam com vista franqueada de Contratação.;;A
978;CCOOMMOO PPAASSSSAARR OOAABB 1166EEDD..iinnddbb 662255 2277//0033//22002200 1111::3311::2244 10.2. Contrato administrativo seu objeto, razão pela qual pode transformar contrato de compra e venda em contrato de permuta. 10.2.1. Cláusulas exorbitantes e temas gerais As cláusulas exorbitantes são aquelas que decorrem do No caso da alternativa seu objeto que decorre. “c”, a rescisão mencionada é possÃvel, mas depende de indenização ao;do poder conferido à Administração Pública de alterar, particular, por não haver culpa deste. No caso da alternativa “d”, não é unilateralmente, algumas cláusulas do contrato, no possÃvel a modificação contratual que altere o objeto do contrato, sob curso de sua execução, na forma do artigo 58, inciso pena de fraude à licitação.;da possibilidade do contratado (particular) alterar,;As cláusulas exorbitantes possibilitam à administração da Lei n. 8.666/1993, a fim de adequar o objeto do pública alterar unilateralmente o contrato adminis- contrato aos interesses do contratado (particular) em trativo, exceto no que se refere à manutenção do face das prerrogativas da Administração Pública. equilÃbrio econômico-financeiro.;"A modificação da finalidade da empresa contratada objeto do contrato administrativo, quer pela Admi- pela administração para prestação de serviços implica nistração Pública, quer pelo contratado (particular), automática rescisão do contrato administrativo. tendo em vista o princÃpio da vinculação ao edital licitatório, do qual o contrato e seu objeto fazem parte integrante; e o princÃpio da juridicidade, do qual mas que não são contratos administrativos, como, por exemplo, o aquele primeiro decorre.";;A
979;8.666/1993), mas sempre respeitando o equilÃbrio nos preços (987/1995). decorre da interpretação a contrario sensu dos incisos XIV e XV do 666/1993, que não admitem que o particular oponha (FGV – 2010) À luz das disposições acerca da Administração a exceção de contrato não cumprido para deixar de cumprir com suas Pública, pode-se afirmar que o contrato administrativo obrigações em caso de suspensão do contrato por até 120 dias ou de tem como caracterÃstic;concessão de uso de bem público. Assinale se apenas estiver(em) correto(s) o(s) item(ns);autorização de uso de bem público. (A) I.;expedição de alvará. (B) II.;realização de espetáculo em local público. (C) III.;"II e III. ção e também por acordo entre as partes, sempre nos limites da Lei nistrativo, quanto mais um contrato administrativo; se se tratar de um";A
980;8.666/1993), mas sempre respeitando o equilÃbrio nos preços (987/1995). decorre da interpretação a contrario sensu dos incisos XIV e XV do 666/1993, que não admitem que o particular oponha (FGV – 2010) À luz das disposições acerca da Administração a exceção de contrato não cumprido para deixar de cumprir com suas Pública, pode-se afirmar que o contrato administrativo obrigações em caso de suspensão do contrato por até 120 dias ou de tem como caracterÃstic;concessão de uso de bem público. Assinale se apenas estiver(em) correto(s) o(s) item(ns);alterar unilateralmente as cláusulas econômico finan- à vigência dos respectivos créditos orçamentários,;expedição de alvará. (B) II.;realização de espetáculo em local público. (C) III.;"II e III. ção e também por acordo entre as partes, sempre nos limites da Lei nistrativo, quanto mais um contrato administrativo; se se tratar de um";A
981;"revisão do contrato para manutenção de seu equilÃbrio e sucessivos perÃodos, com vistas à obtenção de preços e condições econômico-financeiro, mas não autoriza a prorroga- mais vantajosas para a administração, limitada a 60 meses ( da Lei 8.666/93);";se apenas a afirmativa I estiver correta. base na indisponibilidade do interesse público, pela;para serem exigidas do contratado, devem ser previstas (D) a declaração de nulidade do contrato não opera no instrumento convocatório. retroativamente para desconstituir os efeitos jurÃdicos;é admissÃvel todo e qualquer tipo de garantia admitida já produzidos. pelo direito privado, à escolha da Administração. (E) a nulidade exonera a administração do dever de inde-;"é admissÃvel todo e qualquer tipo de garantia admitida nizar o contratante pelo que este houver executado. em direito, sendo irrelevante a previsão no instru- mento convocatório. bração de contrato verbal (art. 60, parágrafo único, da Lei 8.666/1993); compete ao contratado, e não à Administração; o contratado poderá faz-se necessário que ele ingresse com ação judicial para tanto; C:";;A
982;"revisão do contrato para manutenção de seu equilÃbrio e sucessivos perÃodos, com vistas à obtenção de preços e condições econômico-financeiro, mas não autoriza a prorroga- mais vantajosas para a administração, limitada a 60 meses ( da Lei 8.666/93);";se apenas a afirmativa I estiver correta. base na indisponibilidade do interesse público, pela;para serem exigidas do contratado, devem ser previstas (D) a declaração de nulidade do contrato não opera no instrumento convocatório. retroativamente para desconstituir os efeitos jurÃdicos;é admissÃvel todo e qualquer tipo de garantia admitida já produzidos. pelo direito privado, à escolha da Administração. (E) a nulidade exonera a administração do dever de inde-;"é admissÃvel todo e qualquer tipo de garantia admitida nizar o contratante pelo que este houver executado. em direito, sendo irrelevante a previsão no instru- mento convocatório. bração de contrato verbal (art. 60, parágrafo único, da Lei 8.666/1993); compete ao contratado, e não à Administração; o contratado poderá faz-se necessário que ele ingresse com ação judicial para tanto; C:";;A
983;"somente são possÃveis se expressamente previstas no (B) Por se tratar de cláusula exorbitante, mesmo que a edital e no contrato. sociedade empresária Faz de Tudo Ltda. não concorde IV. Entre as normas referentes ao aspecto formal, inclui- com o acréscimo, a alteração poderá ser determinada -se a que exige a publicação, no Diário Oficial, da unilateralmente pela Administração. Ãntegra do contrato, no prazo máximo de 30 (trinta) (C) O contratado só está obrigado a aceitar os acréscimos dias a contar da data da assinatura, como condição de até 15% (quinze por cento) em relação ao valor para que o contrato adquira eficácia. inicial atualizado do contrato; superado esse limite, Estão certos apenas os itens a alteração só pode ocorrer com o consentimento da";I e II. sociedade empresária Faz de Tudo Ltda.;I e III. (D) Diante da deficiência do projeto básico, a Adminis-;II e IV. tração deve obrigatoriamente anular o contrato após serem oportunizados o contraditório e a ampla defesa;III e IV. à sociedade empresária Faz de Tudo Ltda.;;A
984;"somente são possÃveis se expressamente previstas no (B) Por se tratar de cláusula exorbitante, mesmo que a edital e no contrato. sociedade empresária Faz de Tudo Ltda. não concorde IV. Entre as normas referentes ao aspecto formal, inclui- com o acréscimo, a alteração poderá ser determinada -se a que exige a publicação, no Diário Oficial, da unilateralmente pela Administração. Ãntegra do contrato, no prazo máximo de 30 (trinta) (C) O contratado só está obrigado a aceitar os acréscimos dias a contar da data da assinatura, como condição de até 15% (quinze por cento) em relação ao valor para que o contrato adquira eficácia. inicial atualizado do contrato; superado esse limite, Estão certos apenas os itens a alteração só pode ocorrer com o consentimento da";I e II. sociedade empresária Faz de Tudo Ltda.;"a rescisão contratual se dá privativamente pela via 1º, da Lei 8.666/93); radical e custosa, que é a alteração contratual nos limites previstos";é vedado o contrato com prazo de duração indeter- nas regras do art. 65 da Lei 8.666/93.;III e IV. à sociedade empresária Faz de Tudo Ltda.;;A
985;a recomposição do equilÃbrio econômico-financeiro, Administração, o gestor público competente promove o mas não a prorrogação do prazo de entrega da obra. pagamento integral da parcela não adimplida à sociedade (B) A alteração do projeto, pela Administração, autoriza empresária. Tendo em vista a situação acima, assinale a a recomposição do equilÃbrio econômico-financeiro e também a prorrogação do prazo de entrega da obra.;O pagamento feito pelo gestor é plenamente justifi-;O gestor deveria ter instaurado processo adminis- questionar a validade da alteração, exigindo a reali- trativo para analisar a possibilidade de aplicação de zação de novo procedimento licitatório para a cons- sanção por inadimplemento e também a alegação da trução da rampa de acesso para deficientes fÃsicos. sociedade empresária de rompimento do equilÃbrio econômico-financeiro do contrato, sendo vedado a A Administração Pública pode alterar qualitativa e quantitativamente os ele determinar o pagamento da despesa sem a devida contratos administrativos,;O pagamento da parcela inadimplida seria justificável de rampa de acesso para deficientes) pode se enquadrar, de acordo com as caracterÃsticas do contrato no caso concreto, tanto na alÃnea a ainda que a sociedade empresária não comprovasse a como na alÃnea b do inciso I do art. 65 da Lei 8.666/1993. Assim, ficam imprevisibilidade do aumento de custos alegado, uma afastadas as alternativas “c” e “d”. Outro ponto é que, havendo alteração vez que o Estado assume o chamado risco ordinário unilateral do contrato que aumente os encargos do contratado (o que derivado do aumento do custo dos insumos em decor- aconteceu no caso narrado no enunciado), a Administração deverá rência das oscilações naturais do mercado. restabelecer, por aditamento, o equilÃbrio econômico-financeiro inicial;O pagamento incontinente da parcela inadimplida, (art. 65, § 6º, da Lei 8.666/1993). Por fim, de rigor lembrar que a lei tal como realizado pelo gestor, necessitaria ter sido admite prorrogação do prazo de entrega quando há alteração do projeto feito com o abatimento da multa que deveria ter ou especificações, pela Administração (art. 57, § 1º, I, da Lei 8.666/93), sido aplicada à sociedade empresária em razão do o que afasta a alternativa “a” e impõe seja assinalada a alternativa “b”.;;A
986;"(vinte e cinco por cento) do valor inicial atualizado do contrato e, no com a empresa X, vencedora de concorrência, para a caso particular de reforma de edifÃcio ou de equipamento, até o limite construção de uma rodovia de 140 (cento e quarenta) km de 50% (cinquenta por cento) para os seus acréscimos”; A assertiva contraria o comando expresso do No decorrer da obra, entretanto, 8.666/1993: “ Lei 8.666/1993: “Art. 69. O contratado é obrigado a reparar, corrigir,";não é possÃvel a alteração do objeto contratado, remover, reconstruir ou substituir, às suas expensas, no total ou em parte, o objeto do contrato em que se verificarem vÃcios, defeitos ou embora a prorrogação do prazo, em tese, seja possÃvel. incorreções resultantes da execução ou de materiais empregados.” (B) é possÃvel o acréscimo, na obra, até o limite de 25 %;;é possÃvel o acréscimo, na obra, até o limite de 25 % para o inÃcio, porém a empresa não pôde começar o (vinte e cinco por cento) do valor inicial atualizado serviço dentro do prazo estipulado em contrato porque do contrato, bem como a prorrogação do contrato. a administração pública não entregou, em tempo hábil,;a alteração unilateral do contrato é permitida, mas o local da obra, tampouco expediu as ordens de serviço não por razão de alteração no projeto contratado. necessárias, o que impediu que a empresa iniciasse a;"desde que haja expressa concordância do contratado, obra no prazo previsto, descumprindo, portanto, cláusula é possÃvel o acréscimo na obra, qualquer que seja o contratual. Considerando a situação hipotética apresen- valor, bem como a prorrogação do contrato. tada, é correto afirmar que, apesar do descumprimento do prazo, a empresa contratada está isenta de sanções administrativas, de acordo com a hipótese de Lei 8.666/1993);";A
987;"(E) desde que haja expressa concordância do contratado, obra no prazo previsto, descumprindo, portanto, cláusula é possÃvel o acréscimo na obra, qualquer que seja o contratual. Considerando a situação hipotética apresen- valor, bem como a prorrogação do contrato. tada, é correto afirmar que, apesar do descumprimento do prazo, a empresa contratada está isenta de sanções administrativas, de acordo com a hipótese de Lei 8.666/1993);";fato do prÃncipe. previstos na lei, sendo que o caso previsto no enunciado admite a pror-;A empresa fornecedora de combustÃveis terá de ressar-;álea econômica. pois um dos casos que enseja a alteração unilateral do contrato é;"álea ordinária ou empresarial. justamente em razão de alteração no projeto contratado para melhor adequação aos seus objetivos (art. 65, I, “a”, da Lei 8.666/1993); E: Trata-se de fato da administração, pois o atraso resultou de conduta";;A
988;procedimento licitatório para celebração do contrato ”E“ otirabaG III. Desde que não haja alteração do objeto pactuado, o (FGV – 2010) A Administração Pública, diante de uma resci- são de contrato administrativo, por culpa do contratado, contratado deve aceitar acréscimos e supressões em retém os créditos decorrentes do contrato até os limites obras, serviços ou compras de até 25% (vinte e cinco por cento) do valor inicial pactuado. dos prejuÃzos causados. Nessa situação, a retenção dos Assinale: créditos é de naturez;se somente a afirmativa I estiver correta. (A) satisfativa.;se somente a afirmativa II estiver correta. (B) coercitiva.;se somente a afirmativa III estiver correta. (C) acautelatória.;se somente as afirmativas I e II estiverem corretas. (D) restituitória.;se somente as afirmativas II e III estiverem corretas. (E) judicial.;A
989;"limites qualitativos e quantitativos (666/1993); causados serão ressarcidos. II:";Razão de interesse público, de alta relevância e planejamento e a execução de tais atividades de interesse amplo conhecimento, justificada e determinada pela comum. Acerca da criação de regiões metropolitanas para máxima autoridade da esfera administrativa a que a realização de serviços públicos, assinale a afirmativa está subordinado o contratante e exarada no processo;A supressão, por parte da administração, de obras, (A) A instituição de região metropolitana para a orga- serviços ou compras, acarretando modificação do nização, o planejamento e a execução dos serviços valor inicial do contrato além do limite previsto em públicos é de competência do Estado Alfa, por meio lei. de lei complementar.;A lentidão do cumprimento de uma obra, em que a (B) A organização, o planejamento e a execução dos administração comprove a impossibilidade da con- serviços de saneamento básico entre municÃpios clusão da obra, do serviço ou do fornecimento, nos limÃtrofes deveria, necessariamente, ser promovida prazos estipulados. por meio de consórcio público.;A criação da região metropolitana pretendida pelo;;A
990;relacionado a outros temas, como as responsabilidade civil subsidiária do poder público em caso de danos causados a terceiros por conta da III. A remuneração dos serviços públicos não pode abran- atuação de um representante do poder público. ”C“ otirabaG ger parâmetros diferenciados de cobrança em razão do princÃpio da modicidade. derados como serviços públicos uti singuli, assinale a (A) se somente a afirmativa I estiver correta. (B) se somente a afirmativa II estiver correta.;Serviços em que não é possÃvel identificar os usuários;Serviços singulares e essenciais prestados pela Admi- (E) se todas as afirmativas estiverem corretas. nistração Pública direta e indireta.;Serviços em que é possÃvel a identificação do usuário;Serviços que somente são prestados pela Administra- ção Pública direta do Estado. (FGV – 2010) Na prestação de serviço público, é caracterÃs- tica do serviço outorgado:;;A
991;"nistração Pública direta e indireta. I: incorreta (987/1995); II: correta (987/1995); III: incorreta (987/1995). e da parcela do serviço utilizada por cada beneficiário. ”B“ otirabaG (D) Serviços que somente são prestados pela Administra- ção Pública direta do Estado. (FGV – 2010) Na prestação de serviço público, é caracterÃs- tica do serviço outorgado:";a transferência do serviço por prazo certo. singuli são aqueles em que é possÃvel identificar o usuário e a parcela;especificidade, publicidade e moralidade. para impulsionar o potencial turÃstico de uma região;continuidade, atualidade e cortesia. cercada de belÃssimas cachoeiras, pretende asfaltar uma;atratividade, mutualismo e comutatividade. pequena estrada que liga a cidade mais próxima ao local turÃstico. Com vistas à melhoria do serviço público e sem Os princÃpio próprios dos serviços públicos, previstos no art. 6º, § dinheiro em caixa para arcar com as despesas, o Estado 1º, da Lei 8.987/1995, são os seguintes: regularidade, continuidade, decide publicar edital para a concessão da estrada, com eficiência, segurança, atualidade, generalidade, cortesia e modicidade fundamento na Lei nº 8.987/95, cabendo ao futuro con-;;A
992;"”C“ otirabaG cessionário a execução das obras. Com base na hipótese apresentada, assinale a afirmativa correta. dengue desenvolvida em todo o território nacional pelo outras fontes de receita além daquela oriunda do Ministério da Saúde, inclusive com a utilização dos popu- pedágio; a renda adicional deve favorecer a modici- lares fumacês, pode ser classificada como serviço público dade tarifária, reduzindo a tarifa paga pelos usuários.";social autônomo. (B) Um grande investidor (pessoa fÃsica) pode ser con-;uti singuli. tratado pelo poder concedente, caso demonstre;A concessão pode ser feita mediante licitação na (;O poder concedente não poderá exigir no edital minada rodovia federal. Algum tempo após o inÃcio do garantias do concessionário de que realizará as obras contrato, o poder concedente identificou a inexecução a contento, dado que a essência do contrato de con- de diversas obrigações por parte da concessionária, o que cessão é a delegação de serviço público. motivou a notificação da contratada. Foi autuado pro- cesso administrativo, ao fim do qual o poder concedente concedente prever, em favor da concessionária, no edital de licitação, culpa da contratada. Com base na hipótese apresentada,;;A
993;"não se preocupando com a renovação da frota, tampouco com o conforto dos usuários ou com o nÃvel de emissão de poluentes. Em paralelo, com a natural evolução público precedida da execução de obra pública ( 38, caput, da Lei 8.987/1995). emitem menos poluentes. Com base no caso narrado, Essa declaração depende de notificação prévia do concessionário e assinale a afirmativa correta. do devido processo administrativo (987/1995), providências que foram tomadas pela Administração no caso concreto;";A renovação da frota visa a atender ao princÃpio da atualidade, que exige das concessionárias o emprego caducidade (a extinção) da concessão ou aplicar as sanções contratuais de equipamentos modernos. pela inexecução das obrigações (art. 38, caput, da Lei 8.987/1995), não;"Constitui interesse público a utilização de ônibus sendo correto dizer que deve necessariamente aplicar todas as sanções novos, mais econômicos, eficientes e confortáveis; por contratuais; isso, independentemente de lei autorizativa, pode o respeitar o direito de ampla defesa, que deve incluir o contraditório (art. poder concedente encampar o contrato de concessão, 38, § 2º, da Lei 8.987/1995).";Se a concessionária desrespeitar os parâmetros de (;Ao fim da concessão, os veÃculos utilizados retornam do serviço por parte da empresa concessionária. Caso ao poder concedente, independentemente de expressa se demonstre a inadimplência, como deverá proceder o previsão no edital e no contrato. poder público concedente?;;A
994;do contrato, o Estado publicou edital de licitação para a causas determinantes da medida e apurar responsabilidades, assegu- concessão de serviço de transporte de passageiros, por rado o direito de ampla defesa, sendo que, “se ficar comprovado que a ônibus do tipo executivo, para o mesmo trecho. Diante intervenção não observou os pressupostos legais e regulamentares será do exposto, assinale a afirmativa correta. declarada sua nulidade, devendo o serviço ser imediatamente devolvido;"A sociedade empresária “F” pode impedir a realização à concessionária, sem prejuÃzo de seu direito à indenização”, valendo da nova licitação, uma vez que a lei atribui caráter informar que o procedimento administrativo em questão “deverá ser de exclusividade à outorga da concessão de serviços concluÃdo no prazo de até cento e oitenta dias, sob pena de considerar-se públicos. inválida a intervenção” (art. 33 da Lei 8.987/1995);";A outorga de concessão ou permissão não terá cará- a intervenção não está prevista na lei como motivo suficiente para a extinção da concessão (art. 35 da Lei 8.987/1996), lembrando-se que, ter de exclusividade, salvo no caso de inviabilidade “cessada a intervenção, se não for extinta a concessão, a administração técnica ou econômica devidamente justificada. do serviço será devolvida à concessionária, precedida de prestação de;A lei atribui caráter de exclusividade à concessão de contas pelo interventor, que responderá pelos atos praticados durante serviços públicos, mas a violação ao comando legal a sua gestão” (art. 34 da Lei 8.987/1995).;A lei veda a atribuição do caráter de exclusividade à (;;A
995;aquaviário interligando os municÃpios A e B, situados em das obras de reparo. A exploração da rodovia havia sido seu território, por meio do Rio Azulão. Sobre o tema da concedida, mediante licitação, à sociedade empresária concessão de serviços públicos, e considerando os dados “Traffega”, e esta não foi capaz de lidar com a situação, acima narrados, assinale a afirmativa correta. razão pela qual foi decretada a intervenção na concessão.;A outorga de concessão de serviço público, em regra,;A administração do serviço será devolvida à conces- tarifas. sionária, cessada a intervenção, se não for extinta a (C) Não se admite a inserção, no contrato, de cláusula que concessão. preveja a arbitragem para a resolução de conflitos.;A intervenção decorre da supremacia do interesse (D) Na licitação para a concessão de serviços públicos, público sobre o privado e dispensa a instauração de não se admite a inversão da ordem das fases de habi- processo administrativo. litação e julgamento.;A intervenção é causa obrigatória de extinção da con- cessão e assunção do serviço pelo poder concedente. de concessão ou permissão não terá caráter de exclusividade, exceto;;A
996;gem, a ser realizada no Brasil e em lÃngua portuguesa,;Poderá o Poder concedente declarar a caducidade da;encampação. do contrato de concessão.;anulação. (B) Poderá retomar o serviço, por motivo de interesse;"Nada poderá fazer o Poder concedente, uma vez e não por culpa do concessionário; extinção da concessão por motivo de ilegalidade, e não por culpa do que a empresa concessionária, apesar da alteração administrativos (e não de CONCESSÕES de serviço público) por motivo do contrato de concessão. de interesse público.";;A
997;"ampla defesa. Ao final do processo administrativo, restou público (987/1995), só se aplica quando não for o caso efetivamente comprovada a inadimplência, e o poder de extinção da concessão por outro motivo; assim, se há ilegalidade concedente deseja extinguir a concessão por inexecução na concessão, deve-se anulá-la; se há inexecução de obrigações pelo contratual. Qual é a modalidade de extinção da conces- concessionário, deve-se extinguir a concessão por caducidade; e se são a ser observada no caso narrado? a concessão estiver livre de ilegalidades e o concessionário estiver";Anulação. cumprindo seus deveres, mas não mais existir interesse público na;"Caducidade. manutenção da concessão, esta deve ser extinta pela encampação; no caso, como havia descumprimento de obrigações pela concessionária,";"Rescisão. de rigor a extinção da concessão pela caducidade, como se viu; C:";"Encampação. incorreta, pois a anulação de uma concessão só deve ser promovida quando esta já tiver sido iniciada com ilegalidade (por ex., sem licitação O instituto que se aplica ao caso concreto é o da caducidade, que é a prévia), o que não ocorre no caso; extinção da concessão por inadimplência do concessionário (art. 38 8.987/1995 deixa claro que mesmo a simples transferência do controle da Lei 8.987/1995), justamente o que fez a concessionária no caso acionário da concessionária sem a anuência do poder concedente concreto. A anulação não se aplica, pois é a extinção da concessão implicará a caducidade da concessão.";;A
998;"ampla defesa. Ao final do processo administrativo, restou público (987/1995), só se aplica quando não for o caso efetivamente comprovada a inadimplência, e o poder de extinção da concessão por outro motivo; assim, se há ilegalidade concedente deseja extinguir a concessão por inexecução na concessão, deve-se anulá-la; se há inexecução de obrigações pelo contratual. Qual é a modalidade de extinção da conces- concessionário, deve-se extinguir a concessão por caducidade; e se são a ser observada no caso narrado? a concessão estiver livre de ilegalidades e o concessionário estiver";Anulação. cumprindo seus deveres, mas não mais existir interesse público na;"Caducidade. manutenção da concessão, esta deve ser extinta pela encampação; no caso, como havia descumprimento de obrigações pela concessionária,";Considera-se concessão de serviço público a delega- de energia elétrica. A concessionária do serviço, após dois;"Encampação. incorreta, pois a anulação de uma concessão só deve ser promovida quando esta já tiver sido iniciada com ilegalidade (por ex., sem licitação O instituto que se aplica ao caso concreto é o da caducidade, que é a prévia), o que não ocorre no caso; extinção da concessão por inadimplência do concessionário (art. 38 8.987/1995 deixa claro que mesmo a simples transferência do controle da Lei 8.987/1995), justamente o que fez a concessionária no caso acionário da concessionária sem a anuência do poder concedente concreto. A anulação não se aplica, pois é a extinção da concessão implicará a caducidade da concessão.";;A
